${article_no},${value}
"10337264
10337298
10337350
10337349
10337338",C02010314
10337615,C01020405
"10337251
10337252
10337253
10337254
10337255",C02010401
10337256,C02010402
10337257,C02010405
"10337265
10337267",C02010406
10337281,C02010508
10337269,C02070905
10337258,C02070906
"10337263
10337299
10337329
10337330",C02071208
10337331,C02090101
10337528,C04050106
10337518,C05010101 
"10337510
10337662",C05120101
10337602,C06030101
10337601,C06030202
10337606,C06110102
10337612,C06140202 
10337614,C06140301 
10337687,C06140308 
10337778,C07050101 
10337523,C07070302
"10337499
10337500
10337501
10337505
10337506
10337507",C08070306
10337509,C08120104
10337583,C09010101
10337582,C09010102
10337589,C09010305
10337588,C09010306 
10337591,C09010801 
10337587,C09010802 
10337580,C09030103
10337581,C09030303
"10337592
10337593",C09030501
10337579,C09030503
10337664,C09030506
10337665,C09030508
"10337549
10337550
10337551
10337552
10337553
10337554
10337562
10337564",C10010101
"10337623
10337624",C11020301 
10337493,C12050301
"10337489
10337494",C12050303 
"10337490
10337492",C12070101
10337491,C12070201
10337487,C12070303 
"10337470
10337476
10337683
10337705
10337723
10337724
10337738",C13020102 
"10337474
10337475",C13020104
"10337798
10337478",C13050104
10337595,C15030402
10337596,C15030403
10337484,C16020304
10337485,C16020306 
10337483,C16020402
"10337743
10337744
10337745
10337746",C16020502 
10337453,C17020102
"10337452
10337776",C17020103
10337467,C17020104
"10337454
10337455",C17020103
10337748,C09010306